datetime,date_text,title,ministers,portfolios,summary
2025-03-07T21:30:00Z,8 March 2025,Aquaculture Plan key to economic growth,Hon Shane Jones,Oceans and Fisheries,… increased traffic and minimise impacts of flooding and climate change. The construction and dredging work will …
2025-03-05T23:10:48Z,6 March 2025,High quality Kiwi beef and lamb helps lead economic recovery,Hon Todd McClay,Agriculture,… the planet. We can continue to meet our environmental and climate obligations without shutting down farms or sending …
2025-03-05T01:44:02Z,5 March 2025,Economic green shoots start on the dairy farm,Hon Todd McClay,Agriculture,"… Government is committed to meeting our environmental and climate change obligations, but we will do this without …"
2025-02-27T01:12:20Z,27 February 2025,Backing farmers to innovate and make more money,Hon Todd McClay,Agriculture,… future-proof their pasture-based systems in a warming climate. Advanced genetics to increase production whilst …
2025-02-26T13:08:28Z,27 February 2025,New Zealand and China Foreign Ministers meet in Beijing,Rt Hon Winston Peters,Deputy Prime Minister;Foreign Affairs,"… including on trade, agriculture, Antarctic issues, climate change, consular issues, human rights, foreign …"
2025-02-26T11:07:02Z,27 February 2025,PM announces major upgrade to relationship with Viet Nam,Rt Hon Christopher Luxon,Prime Minister,"… and oceans, (iii) economics, trade and investment, (iv) climate change, science and technology; and (v) education and …"
2025-02-20T23:00:51Z,21 February 2025,Carbon capture one step closer,Hon Simon Watts,Climate Change;Energy,"… operating while reducing net carbon emissions, Energy and Climate Change Minister Simon Watts says. “Economic growth is …"
2025-02-03T01:18:48Z,3 February 2025,Land Information Minister to tour Antarctic monitoring sites,Hon Chris Penk,Land Information,… following visits from Finance Minister Nicola Willis and Climate Change Minister Simon Watts in November 2024. …
2025-02-02T22:40:32Z,3 February 2025,Legal action dropped over ETS Forestry Registry ,Hon Todd McClay,Forestry,"… by value in 10 years and helping New Zealand meet its climate change obligations,” Mr McClay says. …"
2025-01-30T07:05:06Z,30 January 2025,Setting New Zealand’s second international climate target,Hon Simon Watts,Climate Change,"… has today announced New Zealand’s second international climate target under the Paris Agreement, Climate Change Minister Simon Watts says. New Zealand will … our commitment to the Paris Agreement and global climate action,” Mr Watts says. “Meeting this target will …"
